e, e_dot, e_int, stamp, 
-0.23977520919866815, -1.5157096226274074e-08, -0.04795504120352697, 75005000000, 
-0.23977521956786904, -5.121723989365279e-08, -0.04795504219794895, 75039000000, 
-0.23977523518859914, -8.663310328375455e-08, -0.04795504426367575, 75073000000, 
-0.23977524782352258, -9.418551179714758e-08, -0.04795504683866605, 75107000000, 
-0.23977525878762151, -7.866340791714184e-08, -0.04795504945331621, 75141000000, 
-0.23977525381525486, -1.9972440923332613e-08, -0.04795505069509326, 75209000000, 
-0.23977523102827752, 9.253114663376749e-08, -0.04795504957541027, 75277000000, 
-0.24156633917110548, -0.005970284519502082, -0.04807445493430919, 75345000000, 
-0.2411500119441059, -0.004582603052761258, -0.048166105476232596, 75379000000, 
-0.2354559453529935, 0.02036797939370662, -0.04787815309788033, 75413000000, 
-0.22818918511551545, 0.04320275609530152, -0.04698634282750766, 75447000000, 
-0.2238822499340847, 0.038578984729695974, -0.04583515869350624, 75481000000, 
-0.21969484819152635, 0.028314456413296996, -0.04478441888274176, 75515000000, 
-0.21381056883022528, 0.033572270346198065, -0.043825844463722424, 75549000000, 
-0.20823073325078054, 0.038213716469152705, -0.042782410018168814, 75583000000, 
-0.20345935199339224, 0.034504056122776815, -0.041700043604959866, 75617000000, 
-0.1982740884413427, 0.033188816031459456, -0.040664278245701034, 75651000000, 
-0.19269730400648727, 0.035873493289683235, -0.03962871629608148, 75685000000, 
-0.18730017644456676, 0.03657970665591981, -0.03855143792615978, 75719000000, 
-0.18185376740011389, 0.03614512202124461, -0.03745674985674453, 75753000000, 
-0.17663755731963193, 0.03554206374978275, -0.036386100077620845, 75787000000, 
-0.17243491151304813, 0.031396186290219195, -0.0353950824155196, 75821000000, 
-0.1686729657660847, 0.026548638511824096, -0.034516362306584315, 75855000000, 
-0.16429763636987155, 0.02712425047725527, -0.03369370090993362, 75889000000, 
-0.15984301479941798, 0.029433169888889072, -0.03285424112902495, 75923000000, 
-0.15616210840726705, 0.027118426542015, -0.032020183971770436, 75957000000, 
-0.1527495578087001, 0.023644856635726314, -0.03125031206769234, 75991000000, 
-0.14910156553810594, 0.023535142897203692, -0.030534215450271535, 76025000000, 
-0.14567352573417622, 0.02358677358174623, -0.029834976605398814, 76059000000, 
-0.14266051181175504, 0.021470179087836327, -0.029162373538935814, 76093000000, 
-0.13973110776356257, 0.0198080599020455, -0.028537676353966254, 76127000000, 
-0.13659577982452423, 0.020215773290769384, -0.02793249329332279, 76161000000, 
-0.13356073952542552, 0.020567894127123492, -0.027325841807567485, 76195000000, 
-0.13083755799133345, 0.01919407277730258, -0.02673293848941888, 76229000000, 
-0.1282009553588587, 0.017865947221889406, -0.02617328352504118, 76263000000, 
