e, e_dot, e_int, stamp, 
3.7912253752225484, 0.007174958377723269, 0.7580311958578312, 107577000000, 
3.7922406146955443, 0.006903132532853166, 0.7582423776569187, 107611000000, 
3.793215942256823, 0.0066352234475811995, 0.7584454621449943, 107645000000, 
3.794152791680312, 0.006373923282558813, 0.7586406232421787, 107679000000, 
3.795051259814975, 0.006117725193840092, 0.7588279995834739, 107713000000, 
3.7959124718894843, 0.005865600697241291, 0.7590077682256513, 107747000000, 
3.7967370691307814, 0.0056193643860217675, 0.7591800533890161, 107781000000, 
3.7975257332510566, 0.005377537871907497, 0.7593450182847548, 107815000000, 
3.798278919806972, 0.005139502253969456, 0.759502781479254, 107849000000, 
3.7989970480217026, 0.004904382568819976, 0.7596534467386487, 107883000000, 
3.7996801346159867, 0.004670716030048538, 0.7597970734963108, 107917000000, 
3.8003298293947436, 0.004442604576803492, 0.7599338008021622, 107951000000, 
3.8009464994350313, 0.004221216063481729, 0.7600637642297174, 107985000000, 
3.8015311408173793, 0.004004371408785623, 0.7601871646431436, 108019000000, 
3.8020852897936623, 0.0037959678621035664, 0.7603041953364048, 108053000000, 
3.8026094458029296, 0.0035943499518342747, 0.7604150584275982, 108087000000, 
3.80310436519923, 0.003396918018558163, 0.7605199400530548, 108121000000, 
3.803570086120274, 0.003202134391148507, 0.7606189264748289, 108155000000, 
3.8040077963272503, 0.003011437093401644, 0.760712149843117, 108189000000, 
3.804417975212223, 0.002826296973162575, 0.7607997238439831, 108223000000, 
3.804800987546822, 0.00264397073190518, 0.7608817839390862, 108257000000, 
3.8051579383575684, 0.002466543817818412, 0.7609584600744409, 108291000000, 
3.805489129936321, 0.002293807964997008, 0.7610298703893807, 108325000000, 
3.805795097383533, 0.0021238634198820585, 0.7610961443784949, 108359000000, 
3.806076519321534, 0.0019579646173761844, 0.7611573831094258, 108393000000, 
3.8063339025201626, 0.0017960171220983885, 0.7612137012816819, 108427000000, 
3.806567939483472, 0.0016380672064612394, 0.7612652240883445, 108461000000, 
3.806778990144662, 0.0014836254149974692, 0.7613120554765531, 108495000000, 
3.8069676792225984, 0.0013324657970873826, 0.7613543072567155, 108529000000, 
3.807134649031878, 0.0011855296240540862, 0.7613920878932758, 108563000000, 
3.8072802335985787, 0.0010418479199344095, 0.761425504123537, 108597000000, 
3.80740483882195, 0.0009006326335736503, 0.7614546480968271, 108631000000, 
3.807509263676884, 0.0007634335943507153, 0.7614796224064941, 108665000000, 
3.8075938620415375, 0.0006300773986245289, 0.7615005309693581, 108699000000, 
3.8076589154786755, 0.0004988393393053533, 0.7615174694131398, 108733000000, 
3.8077052087933665, 0.00037115583943000036, 0.7615305324209054, 108767000000, 
3.8077330744266735, 0.00024719649332668087, 0.761539813246581, 108801000000, 
3.807742718344268, 0.00012503183633771897, 0.7615454001042873, 108835000000, 
3.8077350241336423, 6.499023229207997e-06, 0.761547387793639, 108869000000, 
3.807710060743141, -0.00010885867042305837, 0.76154585354807, 108903000000, 
3.8076688747963745, -0.00022049779089261534, 0.7615409306448772, 108937000000, 
3.807611422876316, -0.00032879288941689566, 0.7615326905610553, 108971000000, 
3.807537782864177, -0.0004369731073250449, 0.7615212053691245, 109005000000, 
3.807448597053827, -0.0005427527416287011, 0.761506520186288, 109039000000, 
3.8073443905599897, -0.0006446410139574846, 0.7614887180318664, 109073000000, 
3.8072253606023225, -0.0007441215050156084, 0.7614678898810759, 109107000000, 
3.8070918772463496, -0.0008417110454672638, 0.7614441085605774, 109141000000, 
3.8069442970916105, -0.0009368783690399951, 0.7614174356626855, 109175000000, 
3.8067831393758262, -0.0010291262350777448, 0.7613879542475857, 109209000000, 
3.8066085530040175, -0.0011191469586435687, 0.7613557326314302, 109243000000, 
3.8064209526344497, -0.0012072891379218593, 0.7613208430009528, 109277000000, 
3.806220628006336, -0.001293083325604923, 0.7612833422429869, 109311000000, 
3.806008021550135, -0.0013764369477161271, 0.761243306812728, 109345000000, 
3.8057832930563475, -0.001457783166628109, 0.7612007961741879, 109379000000, 
3.805546813718204, -0.0015373594397694035, 0.7611558752216457, 109413000000, 
3.805298882017243, -0.0016147034636822728, 0.7611085992527863, 109447000000, 
3.8050397614572233, -0.0016901742032689644, 0.7610590304795114, 109481000000, 
3.804769901633604, -0.0017632679454626654, 0.761007236340538, 109515000000, 
3.804489409777726, -0.0018345055983237657, 0.7609532715245703, 109549000000, 
3.80419855272806, -0.0019044963518129638, 0.760897190942626, 109583000000, 
3.803897725964216, -0.001972279378367562, 0.7608390458980002, 109617000000, 
3.803587082324115, -0.0020382346798175632, 0.760778890734426, 109651000000, 
3.803266919181122, -0.0021026892769793193, 0.7607167818312969, 109685000000, 
3.802937487745991, -0.002165315260412489, 0.7606527659500819, 109719000000, 
3.802599020789667, -0.0022263279715165987, 0.7605868951811187, 109753000000, 
3.802251861623194, -0.0022854204093232986, 0.7605192246772569, 109787000000, 
3.801896075781009, -0.002343150028859912, 0.7604497972129247, 109821000000, 
3.8015320399950365, -0.0023994054271921548, 0.7603786651599493, 109855000000, 
3.8011599197220387, -0.0024538535299016098, 0.7603058690332056, 109889000000, 
