x, y, 
-2.0, -0.5099999999999993, 
-1.5499999999999998, -0.6099999999999994, 
-1.0, -0.7099999999999995, 
-0.14999999999999947, -0.9099999999999993, 
0.35000000000000053, -1.0599999999999996, 
0.6500000000000004, -1.2599999999999993, 
1.25, -1.3099999999999996, 
1.4000000000000004, -0.5599999999999996, 
1.200000000000001, -0.35999999999999943, 
1.0, 0.14000000000000057, 
0.05000000000000071, 0.4400000000000004, 
-0.8999999999999995, 0.6900000000000004, 
-1.2999999999999998, 0.8400000000000007, 
-1.6499999999999995, 0.8900000000000006, 
-2.0, 0.9400000000000004, 
