x, y, 
-2.000000293274225, -0.4999999999352662, 
-2.0000005200648037, -0.4999999998412375, 
-2.0000002557414316, -0.500000001708157, 
-1.9999994909188448, -0.5000000058781425, 
-1.9999982308922024, -0.500000012327451, 
-1.9999964789098175, -0.5000000208956155, 
-1.9999942381401241, -0.5000000314271563, 
-1.9999915116770233, -0.5000000437708922, 
-1.9999883025494265, -0.5000000577808864, 
-1.9999846137195645, -0.5000000733153972, 
-1.9999804480829413, -0.5000000902375288, 
-1.9999758084721477, -0.5000001084152731, 
-1.9999706976528833, -0.5000001277216835, 
-1.9999651183411664, -0.5000001480339871, 
-1.9999590731892434, -0.5000001692350833, 
-1.999952564774424, -0.50000019121278, 
-1.9999455956450045, -0.5000002138591468, 
-1.999938587799521, -0.5000002374987152, 
-1.9999324743637161, -0.5000002620491193, 
-1.9999275691755487, -0.5000002871755506, 
-1.9999238661560004, -0.5000003130246707, 
-1.999921364897382, -0.5000003394990864, 
-1.9999200653322091, -0.5000003664881986, 
-1.9999199674328918, -0.5000003938864682, 
-1.999921071202329, -0.5000004215932239, 
-1.9999233766803914, -0.5000004495135034, 
-1.9999268839450857, -0.5000004775580252, 
-1.9999315931097543, -0.5000005056426045, 
-1.9999373969577945, -0.5000005334289427, 
-1.999943586817254, -0.5000005608029645, 
-1.9999492650933992, -0.5000005871814863, 
-1.9999544908896554, -0.5000006134090402, 
-1.9999592821074026, -0.5000006389657087, 
-1.9999634993349804, -0.5000006636587335, 
-1.9999670896943833, -0.5000006875743829, 
-1.9999701164643524, -0.5000007105303649, 
-1.9999726727774263, -0.5000007324458204, 
-1.9999747645177608, -0.5000007536482046, 
-1.9999763131115267, -0.5000007743094851, 
-1.9999773251297053, -0.500000794145898, 
-1.9999778276490543, -0.5000008128369812, 
-1.9999778271442592, -0.500000830919034, 
-1.9999773309148983, -0.5000008479968153, 
-1.999976335643756, -0.5000008642461441, 
-1.9999748446340113, -0.500000879672799, 
